timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
Straight
7,-0.46,0.54,9.77,-0.05,-0.05,-0.13
18,2.11,0.57,10.42,-0.05,-0.05,-0.13
21,-3.18,0.84,9.23,-0.05,-0.05,-0.13
22,-3.18,0.84,9.23,0.01,0.04,-0.29
26,-1.23,-0.15,8.78,0.01,0.04,-0.29
31,1.07,0.08,10.42,0.01,0.04,-0.29
36,1.07,0.08,10.42,0.01,-0.03,-0.33
41,4.41,-0.04,12.60,0.01,-0.03,-0.33
46,4.41,-0.04,12.60,0.10,-0.14,-0.28
51,0.80,-1.88,10.57,0.10,-0.14,-0.28
56,2.34,-0.34,10.31,0.10,-0.14,-0.28
62,0.38,-0.50,12.26,0.10,-0.14,-0.28
66,-1.27,0.84,9.43,0.10,-0.14,-0.28
71,3.64,-1.84,8.35,0.10,-0.14,-0.28
76,4.90,0.34,9.08,0.10,-0.14,-0.28
81,-0.80,0.77,7.70,0.10,-0.14,-0.28
86,1.30,1.68,11.45,0.10,-0.14,-0.28
91,1.34,1.38,8.39,0.10,-0.14,-0.28
96,1.34,1.38,8.39,-0.04,0.00,-0.45
101,1.34,1.38,8.39,0.03,0.01,-0.38
106,2.07,-0.34,9.77,0.03,0.01,-0.38
111,-4.64,0.69,8.50,0.03,0.01,-0.38
116,-4.64,0.69,8.50,0.06,-0.02,-0.29
121,4.75,-0.61,10.73,0.06,-0.02,-0.29
126,-1.23,-0.11,9.46,0.06,-0.02,-0.29
132,-2.26,-1.72,10.39,0.06,-0.02,-0.29
136,1.30,-1.46,7.66,0.06,-0.02,-0.29
141,-0.23,-1.11,8.16,0.06,-0.02,-0.29
146,-0.77,-3.26,9.80,0.06,-0.02,-0.29
152,0.88,-1.65,8.93,0.06,-0.02,-0.29
156,-1.88,-1.15,10.57,0.06,-0.02,-0.29
161,-0.42,-3.48,11.92,0.06,-0.02,-0.29
167,3.33,-3.91,13.11,0.06,-0.02,-0.29
171,-3.03,-1.91,10.35,0.06,-0.02,-0.29
176,-7.36,-1.30,8.58,0.06,-0.02,-0.29
181,-3.83,-4.14,9.85,0.06,-0.02,-0.29
187,-1.42,-1.72,10.00,0.06,-0.02,-0.29
191,-4.83,-0.65,7.55,0.06,-0.02,-0.29
196,-2.64,-0.08,7.20,0.06,-0.02,-0.29
202,-1.38,-0.38,9.61,0.06,-0.02,-0.29
206,-1.19,0.34,10.35,0.06,-0.02,-0.29
211,-0.30,-2.26,9.04,0.06,-0.02,-0.29
216,-1.00,-1.95,9.73,0.06,-0.02,-0.29
221,-1.88,-0.34,9.04,0.06,-0.02,-0.29
227,-1.53,-1.95,10.69,0.06,-0.02,-0.29
232,-2.03,-0.34,11.15,0.06,-0.02,-0.29
236,-2.03,-0.34,11.15,0.32,0.12,0.18
242,-2.03,-0.34,11.15,0.29,0.11,0.19
246,-1.57,-0.69,8.20,0.29,0.11,0.19
251,-1.57,-0.69,8.20,0.27,-0.03,0.18
256,-4.86,-0.65,5.90,0.27,-0.03,0.18
261,-3.10,-2.14,8.20,0.27,-0.03,0.18
267,-2.26,-0.84,7.36,0.27,-0.03,0.18
271,-2.26,-0.84,7.36,0.29,-0.06,0.40
276,-1.30,-0.11,7.39,0.29,-0.06,0.40
281,-1.68,-0.96,9.77,0.29,-0.06,0.40
287,-1.49,-1.27,8.01,0.29,-0.06,0.40
291,-0.88,-1.11,9.04,0.29,-0.06,0.40
296,-0.27,-0.80,10.31,0.29,-0.06,0.40
302,-4.52,-2.53,11.50,0.29,-0.06,0.40
306,-4.52,-2.53,11.50,0.33,-0.07,0.50
311,0.00,-0.19,8.73,0.33,-0.07,0.50
316,-7.47,1.72,7.43,0.33,-0.07,0.50
321,-7.47,1.72,7.43,0.27,0.10,0.35
327,4.25,-2.07,11.04,0.27,0.10,0.35
332,-2.49,-0.08,10.88,0.27,0.10,0.35
336,-2.49,-0.08,10.88,0.24,-0.08,0.47
341,-2.49,-0.08,10.88,0.24,-0.08,0.38
346,1.27,0.11,13.11,0.24,-0.08,0.38
352,-0.96,-0.80,12.41,0.24,-0.08,0.38
356,-0.96,-0.80,12.41,0.26,0.08,0.34
362,-0.96,-0.80,12.41,0.25,0.14,0.40
367,-4.41,1.99,7.89,0.25,0.14,0.40
371,-4.41,1.99,7.89,0.19,0.29,0.28
376,-4.41,1.99,7.89,0.14,0.29,0.25
381,-2.64,1.76,7.47,0.14,0.29,0.25
387,-4.94,2.30,5.52,0.14,0.29,0.25
391,-4.94,2.30,5.52,0.01,0.06,0.32
396,-0.54,-0.84,10.19,0.01,0.06,0.32
401,-1.23,0.50,7.51,0.01,0.06,0.32
407,-3.95,-0.84,12.11,0.01,0.06,0.32
411,-3.95,-0.84,12.11,0.09,-0.17,0.32
416,0.92,-1.19,11.64,0.09,-0.17,0.32
421,-1.04,-0.42,10.00,0.09,-0.17,0.32
