timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
Break
288544713,-25.44,-14.67,11.99,-0.14,0.45,-0.18,3.69,3.81,-45.88
288561494,-25.44,-14.67,11.99,0.60,-0.99,-0.07,3.69,3.81,-45.88
288564698,2.38,-2.84,8.81,0.60,-0.99,-0.07,3.69,3.81,-45.88
288572315,2.38,-2.84,8.81,-0.05,-0.04,-0.12,3.69,3.81,-45.88
288582658,2.38,-2.84,8.81,-0.05,-0.04,-0.12,-12.50,6.06,-49.06
288593422,-2.80,-2.07,10.35,-0.05,-0.04,-0.12,-12.50,6.06,-49.06
288604250,-0.77,-1.95,12.34,-0.05,-0.04,-0.12,-12.50,6.06,-49.06
288613912,-0.77,-1.95,12.34,-0.04,-0.03,-0.07,-12.50,6.06,-49.06
288623828,-0.77,-1.95,12.34,-0.03,0.10,-0.04,-12.50,6.06,-49.06
288634151,0.88,2.34,6.36,-0.03,0.10,-0.04,-12.50,6.06,-49.06
288643883,0.88,2.34,6.36,-0.03,-0.12,0.00,-12.50,6.06,-49.06
288653258,0.88,2.34,6.36,-0.15,0.23,0.02,-12.50,6.06,-49.06
288663773,-3.79,-3.03,10.88,-0.15,0.23,0.02,-12.50,6.06,-49.06
288673845,-3.79,-3.03,10.88,0.11,-0.27,0.04,-12.50,6.06,-49.06
288683938,-3.79,-3.03,10.88,-0.03,-0.01,0.02,-12.50,6.06,-49.06
288693896,-3.79,-3.03,10.88,-0.04,0.06,0.08,-12.50,6.06,-49.06
288704257,0.27,-0.46,11.07,-0.04,0.06,0.08,-12.50,6.06,-49.06
288713896,0.27,-0.46,11.07,-0.10,0.14,0.04,-12.50,6.06,-49.06
288723190,0.27,-0.46,11.07,-0.07,0.06,0.01,-12.50,6.06,-49.06
288733774,-1.15,-0.42,6.63,-0.07,0.06,0.01,-12.50,6.06,-49.06
288743936,-1.15,-0.42,6.63,-0.01,-0.06,0.03,-12.50,6.06,-49.06
288754012,-1.15,-0.42,6.63,-0.06,-0.04,-0.06,-12.50,6.06,-49.06
288763908,-1.15,-0.42,6.63,-0.07,0.11,-0.03,-12.50,6.06,-49.06
288774169,-0.88,-2.64,6.36,-0.07,0.11,-0.03,-12.50,6.06,-49.06
288783831,-0.88,-2.64,6.36,0.05,-0.20,-0.07,-12.50,6.06,-49.06
288793198,-0.88,-2.64,6.36,-0.11,0.16,-0.09,-12.50,6.06,-49.06
288804483,-1.49,-1.84,8.20,-0.11,0.16,-0.09,-12.50,6.06,-49.06
288814676,-1.49,-1.84,8.20,-0.01,-0.11,-0.12,-12.50,6.06,-49.06
288823834,-1.49,-1.84,8.20,-0.09,0.14,-0.13,-12.50,6.06,-49.06
288833745,-1.00,-1.04,9.27,-0.09,0.14,-0.13,-12.50,6.06,-49.06
288844148,2.61,-0.46,10.49,-0.09,0.14,-0.13,-12.50,6.06,-49.06
288853896,2.61,-0.46,10.49,-0.16,0.21,-0.18,-12.50,6.06,-49.06
288863936,2.61,-0.46,10.49,-0.13,0.01,-0.20,-12.50,6.06,-49.06
288874284,0.42,1.04,10.80,-0.13,0.01,-0.20,-12.50,6.06,-49.06
288883838,0.42,1.04,10.80,-0.10,0.01,-0.16,-12.50,6.06,-49.06
288893890,0.42,1.04,10.80,-0.08,-0.04,-0.14,-12.50,6.06,-49.06
288903599,3.41,0.04,9.08,-0.08,-0.04,-0.14,-12.50,6.06,-49.06
288914254,-0.54,1.68,10.15,-0.08,-0.04,-0.14,-12.50,6.06,-49.06
288923843,-0.54,1.68,10.15,-0.20,0.03,-0.16,-12.50,6.06,-49.06
288933851,-0.54,1.68,10.15,-0.26,0.11,-0.25,-12.50,6.06,-49.06
288944261,-5.48,-3.45,9.46,-0.26,0.11,-0.25,-12.50,6.06,-49.06
288953949,-5.48,-3.45,9.46,-0.17,-0.20,-0.31,-12.50,6.06,-49.06
288963853,-5.48,-3.45,9.46,-0.27,-0.00,-0.29,-12.50,6.06,-49.06
288973421,-5.79,-3.98,4.33,-0.27,-0.00,-0.29,-12.50,6.06,-49.06
288984159,-3.29,-2.68,9.77,-0.27,-0.00,-0.29,-12.50,6.06,-49.06
288993961,-3.29,-2.68,9.77,-0.12,-0.05,0.02,-12.50,6.06,-49.06
289003924,-3.29,-2.68,9.77,-0.06,-0.04,0.10,-12.50,6.06,-49.06
289014186,-1.00,-3.68,7.36,-0.06,-0.04,0.10,-12.50,6.06,-49.06
289023885,-1.00,-3.68,7.36,-0.03,0.03,0.13,-12.50,6.06,-49.06
289033191,-1.00,-3.68,7.36,-0.01,-0.22,0.07,-12.50,6.06,-49.06
289043436,3.79,-2.11,11.57,-0.01,-0.22,0.07,-12.50,6.06,-49.06
289054579,-0.42,-2.61,5.32,-0.01,-0.22,0.07,-12.50,6.06,-49.06
289063844,-0.42,-2.61,5.32,-0.11,0.05,0.02,-12.50,6.06,-49.06
289073895,-0.42,-2.61,5.32,0.00,-0.34,-0.05,-12.50,6.06,-49.06
289084166,4.14,-0.42,13.21,0.00,-0.34,-0.05,-12.50,6.06,-49.06
289093830,4.14,-0.42,13.21,-0.25,0.20,-0.04,-12.50,6.06,-49.06
289103274,4.14,-0.42,13.21,-0.04,-0.15,-0.04,-12.50,6.06,-49.06
289114533,0.57,-1.46,12.64,-0.04,-0.15,-0.04,-12.50,6.06,-49.06
289123886,0.57,-1.46,12.64,-0.16,-0.07,-0.15,-12.50,6.06,-49.06
289133874,0.57,-1.46,12.64,-0.12,-0.11,-0.16,-12.50,6.06,-49.06
289143956,0.57,-1.46,12.64,-0.18,0.01,-0.14,-12.50,6.06,-49.06
289154281,-1.15,0.50,8.01,-0.18,0.01,-0.14,-12.50,6.06,-49.06
289163835,-1.15,0.50,8.01,-0.25,-0.04,-0.34,-12.50,6.06,-49.06
289173199,-1.15,0.50,8.01,-0.24,-0.04,-0.36,-12.50,6.06,-49.06
289184390,0.42,0.30,7.05,-0.24,-0.04,-0.36,-12.50,6.06,-49.06
289193803,0.42,0.30,7.05,-0.20,-0.18,-0.42,-12.50,6.06,-49.06
289204082,0.42,0.30,7.05,-0.25,-0.08,-0.42,-12.50,6.06,-49.06
289213728,0.42,0.30,7.05,-0.30,0.16,-0.38,-12.50,6.06,-49.06
289224216,-8.54,-4.02,9.39,-0.30,0.16,-0.38,-12.50,6.06,-49.06
289233843,-8.54,-4.02,9.39,-0.12,-0.20,-0.43,-12.50,6.06,-49.06
289243914,-8.54,-4.02,9.39,-0.12,-0.29,-0.46,-12.50,6.06,-49.06
289254252,5.13,1.84,5.79,-0.12,-0.29,-0.46,-12.50,6.06,-49.06
289263944,5.13,1.84,5.79,-0.37,0.29,-0.45,-12.50,6.06,-49.06
289273887,5.13,1.84,5.79,-0.29,0.09,-0.52,-12.50,6.06,-49.06
289283513,5.13,1.84,5.79,-0.17,-0.10,-0.50,-12.50,6.06,-49.06
289294162,4.86,-0.11,9.23,-0.17,-0.10,-0.50,-12.50,6.06,-49.06
289303937,4.86,-0.11,9.23,-0.19,0.08,-0.46,-12.50,6.06,-49.06
289313873,4.86,-0.11,9.23,-0.17,0.04,-0.50,-12.50,6.06,-49.06
289323160,-0.30,0.73,12.07,-0.17,0.04,-0.50,-12.50,6.06,-49.06
289332252,-0.30,0.73,12.07,-0.23,0.07,-0.51,-12.50,6.06,-49.06
289345105,-0.30,0.73,12.07,-0.17,0.02,-0.52,-12.50,6.06,-49.06
289353905,6.89,1.61,15.05,-0.17,0.02,-0.52,-12.50,6.06,-49.06
289363846,6.89,1.61,15.05,-0.18,-0.00,-0.46,-12.50,6.06,-49.06
289373837,6.89,1.61,15.05,-0.23,0.31,-0.44,-12.50,6.06,-49.06
289383871,6.89,1.61,15.05,-0.06,0.20,-0.39,-12.50,6.06,-49.06
289394283,-3.37,-0.57,9.73,-0.06,0.20,-0.39,-12.50,6.06,-49.06
289403917,-3.37,-0.57,9.73,-0.12,0.10,-0.45,-12.50,6.06,-49.06
289413198,-3.37,-0.57,9.73,-0.15,-0.08,-0.54,-12.50,6.06,-49.06
289423436,3.26,1.38,7.59,-0.15,-0.08,-0.54,-12.50,6.06,-49.06
