timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
Break
1118386325,-1.95,-0.77,8.20,0.06,0.14,0.13,10.25,21.19,-35.75
1118395959,-1.95,-0.77,8.20,0.06,-0.00,0.05,10.25,21.19,-35.75
1118406073,-1.95,-0.77,8.20,0.09,-0.16,0.01,10.25,21.19,-35.75
1118416254,-1.95,-0.77,8.20,0.07,-0.03,0.03,10.25,21.19,-35.75
1118426281,-1.95,-0.77,8.20,0.08,-0.02,0.05,10.25,21.19,-35.75
1118436098,-1.95,-0.77,8.20,0.11,-0.01,0.08,10.25,21.19,-35.75
1118445930,-1.95,-0.77,8.20,0.08,0.07,0.10,10.25,21.19,-35.75
1118455923,-1.95,-0.77,8.20,0.09,-0.06,0.08,10.25,21.19,-35.75
1118466268,-1.95,-0.77,8.20,0.06,-0.07,0.06,10.25,21.19,-35.75
1118476133,-1.95,-0.77,8.20,0.02,0.03,0.06,10.25,21.19,-35.75
1118486020,-1.95,-0.77,8.20,0.02,0.07,0.05,10.25,21.19,-35.75
1118496220,-1.95,-0.77,8.20,0.03,0.04,0.03,10.25,21.19,-35.75
1118506087,-1.95,-0.77,8.20,0.00,-0.01,0.00,10.25,21.19,-35.75
1118515790,-1.95,-0.77,8.20,-0.05,0.01,-0.04,10.25,21.19,-35.75
1118525904,-1.95,-0.77,8.20,-0.04,-0.01,-0.05,10.25,21.19,-35.75
1118536314,-1.95,-0.77,8.20,-0.01,-0.02,-0.04,10.25,21.19,-35.75
1118546103,-1.95,-0.77,8.20,-0.01,-0.04,-0.04,10.25,21.19,-35.75
1118556022,-1.95,-0.77,8.20,0.01,-0.07,-0.04,10.25,21.19,-35.75
1118566294,-1.95,-0.77,8.20,0.02,-0.05,0.01,10.25,21.19,-35.75
1118576114,-1.95,-0.77,8.20,0.01,-0.07,0.01,10.25,21.19,-35.75
1118585792,-1.95,-0.77,8.20,0.00,-0.06,0.01,10.25,21.19,-35.75
1118596259,-1.95,-0.77,8.20,-0.01,-0.02,0.01,10.25,21.19,-35.75
1118605926,-1.95,-0.77,8.20,-0.02,0.00,0.02,10.25,21.19,-35.75
1118616128,-1.95,-0.77,8.20,-0.03,0.05,0.03,10.25,21.19,-35.75
1118625902,-1.95,-0.77,8.20,-0.04,0.12,0.03,10.25,21.19,-35.75
1118636331,-1.95,-0.77,8.20,-0.01,0.08,0.01,10.25,21.19,-35.75
1118646059,-1.95,-0.77,8.20,-0.00,0.03,-0.00,10.25,21.19,-35.75
1118655704,-1.95,-0.77,8.20,-0.02,-0.03,-0.04,10.25,21.19,-35.75
1118666251,-1.95,-0.77,8.20,-0.04,-0.05,-0.08,10.25,21.19,-35.75
1118675996,-1.95,-0.77,8.20,-0.04,-0.02,-0.09,10.25,21.19,-35.75
1118686103,-1.95,-0.77,8.20,-0.02,-0.04,-0.11,10.25,21.19,-35.75
1118696360,-1.95,-0.77,8.20,-0.02,-0.02,-0.12,10.25,21.19,-35.75
1118705969,-1.95,-0.77,8.20,-0.03,0.05,-0.11,10.25,21.19,-35.75
1118716063,-1.95,-0.77,8.20,-0.01,0.01,-0.11,10.25,21.19,-35.75
1118725629,-1.95,-0.77,8.20,-0.01,-0.04,-0.14,10.25,21.19,-35.75
1118736331,-1.95,-0.77,8.20,-0.04,-0.02,-0.15,10.25,21.19,-35.75
1118745948,-1.95,-0.77,8.20,-0.07,0.01,-0.17,10.25,21.19,-35.75
1118756148,-1.95,-0.77,8.20,-0.10,-0.02,-0.21,10.25,21.19,-35.75
1118766281,-1.95,-0.77,8.20,-0.09,-0.02,-0.23,10.25,21.19,-35.75
1118775948,-1.95,-0.77,8.20,-0.06,-0.04,-0.23,10.25,21.19,-35.75
1118786156,-1.95,-0.77,8.20,-0.06,-0.03,-0.21,10.25,21.19,-35.75
1118796252,-1.95,-0.77,8.20,-0.08,0.03,-0.22,10.25,21.19,-35.75
1118806346,-1.95,-0.77,8.20,-0.08,0.05,-0.23,10.25,21.19,-35.75
1118816034,-1.95,-0.77,8.20,-0.06,0.02,-0.24,10.25,21.19,-35.75
1118825928,-1.95,-0.77,8.20,-0.05,-0.03,-0.26,10.25,21.19,-35.75
1118835987,-1.95,-0.77,8.20,-0.05,0.01,-0.25,10.25,21.19,-35.75
1118846289,-1.95,-0.77,8.20,-0.04,0.05,-0.23,10.25,21.19,-35.75
1118856034,-1.95,-0.77,8.20,-0.00,0.02,-0.23,10.25,21.19,-35.75
1118866036,-1.95,-0.77,8.20,0.01,0.04,-0.21,10.25,21.19,-35.75
1118876276,-1.95,-0.77,8.20,0.01,0.04,-0.21,10.25,21.19,-35.75
1118886125,-1.95,-0.77,8.20,0.02,-0.04,-0.22,10.25,21.19,-35.75
1118895835,-1.95,-0.77,8.20,0.01,-0.02,-0.21,10.25,21.19,-35.75
1118905942,-1.95,-0.77,8.20,0.01,0.05,-0.18,10.25,21.19,-35.75
1118916261,-1.95,-0.77,8.20,0.04,0.06,-0.15,10.25,21.19,-35.75
1118926032,-1.95,-0.77,8.20,0.06,0.04,-0.13,10.25,21.19,-35.75
1118935939,-1.95,-0.77,8.20,0.05,0.02,-0.13,10.25,21.19,-35.75
1118946249,-1.95,-0.77,8.20,0.02,0.02,-0.14,10.25,21.19,-35.75
1118956109,-1.95,-0.77,8.20,0.02,0.01,-0.15,10.25,21.19,-35.75
1118965568,-1.95,-0.77,8.20,0.07,-0.03,-0.11,10.25,21.19,-35.75
1118975920,-1.95,-0.77,8.20,0.10,-0.08,-0.08,10.25,21.19,-35.75
1118986244,-1.95,-0.77,8.20,0.09,-0.03,-0.04,10.25,21.19,-35.75
1118995972,-1.95,-0.77,8.20,0.11,0.06,0.02,10.25,21.19,-35.75
1119005881,-1.95,-0.77,8.20,0.14,0.07,0.05,10.25,21.19,-35.75
1119016244,-1.95,-0.77,8.20,0.13,0.06,0.04,10.25,21.19,-35.75
1119025975,-1.95,-0.77,8.20,0.11,0.01,0.02,10.25,21.19,-35.75
1119035390,-1.95,-0.77,8.20,0.09,-0.03,0.00,10.25,21.19,-35.75
1119045825,-1.95,-0.77,8.20,0.09,-0.02,0.01,10.25,21.19,-35.75
1119056180,-1.95,-0.77,8.20,0.10,-0.01,0.04,10.25,21.19,-35.75
1119065905,-1.95,-0.77,8.20,0.10,0.10,0.08,10.25,21.19,-35.75
1119075798,-1.95,-0.77,8.20,0.16,0.04,0.09,10.25,21.19,-35.75
1119086183,-1.95,-0.77,8.20,0.16,-0.01,0.09,10.25,21.19,-35.75
1119095973,-1.95,-0.77,8.20,0.10,0.03,0.06,10.25,21.19,-35.75
1119105374,-1.95,-0.77,8.20,0.09,-0.00,0.02,10.25,21.19,-35.75
1119116071,-1.95,-0.77,8.20,0.08,-0.00,0.01,10.25,21.19,-35.75
1119125731,-1.95,-0.77,8.20,0.10,-0.01,0.02,10.25,21.19,-35.75
1119135835,-1.95,-0.77,8.20,0.11,-0.01,0.02,10.25,21.19,-35.75
1119145802,-1.95,-0.77,8.20,0.12,0.04,0.05,10.25,21.19,-35.75
1119156097,-1.95,-0.77,8.20,0.14,0.06,0.08,10.25,21.19,-35.75
1119165846,-1.95,-0.77,8.20,0.15,0.02,0.10,10.25,21.19,-35.75
1119175286,-1.95,-0.77,8.20,0.13,0.01,0.08,10.25,21.19,-35.75
1119186059,-1.95,-0.77,8.20,0.10,0.02,0.06,10.25,21.19,-35.75
1119195717,-1.95,-0.77,8.20,0.07,0.04,0.06,10.25,21.19,-35.75
1119205829,-1.95,-0.77,8.20,0.07,0.06,0.05,10.25,21.19,-35.75
1119216014,-1.95,-0.77,8.20,0.07,0.10,0.06,10.25,21.19,-35.75
1119225662,-1.95,-0.77,8.20,0.09,0.10,0.07,10.25,21.19,-35.75
1119235792,-1.95,-0.77,8.20,0.13,-0.06,0.07,10.25,21.19,-35.75
1119245259,-1.95,-0.77,8.20,0.13,-0.03,0.10,10.25,21.19,-35.75
1119256009,-1.95,-0.77,8.20,0.10,0.04,0.12,10.25,21.19,-35.75
1119265666,-1.95,-0.77,8.20,0.11,0.04,0.12,10.25,21.19,-35.75
1119275696,-1.95,-0.77,8.20,0.08,0.11,0.12,10.25,21.19,-35.75
1119286002,-1.95,-0.77,8.20,0.07,0.05,0.10,10.25,21.19,-35.75
1119294749,-1.95,-0.77,8.20,0.09,-0.02,0.10,10.25,21.19,-35.75
1119305716,-1.95,-0.77,8.20,0.07,0.04,0.12,10.25,21.19,-35.75
1119315215,-1.95,-0.77,8.20,0.08,0.03,0.12,10.25,21.19,-35.75
1119325867,-1.95,-0.77,8.20,0.09,0.02,0.14,10.25,21.19,-35.75
1119335609,-1.95,-0.77,8.20,0.08,0.02,0.15,10.25,21.19,-35.75
1119345701,-1.95,-0.77,8.20,0.07,-0.03,0.13,10.25,21.19,-35.75
1119355863,-1.95,-0.77,8.20,0.07,-0.05,0.13,10.25,21.19,-35.75
