timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
22,-2.45,-0.84,7.16,0.25,0.11,-0.28
41,-0.57,-0.15,8.88,0.03,-0.04,0.13
62,1.99,1.3,11.76,0.01,-0.07,0.03
82,3.91,0.77,10.84,0.07,0.06,0.18
102,-1.11,-0.46,10.0,-0.02,0.02,0.06
122,0.0,0.23,8.66,-0.03,0.1,0.12
142,-1.34,-0.38,9.42,-0.09,-0.03,0.02
161,0.34,-0.46,10.88,-0.04,0.06,-0.02
181,-1.65,-1.46,8.82,-0.01,0.18,-0.06
202,-1.23,1.99,6.82,-0.13,0.06,-0.2
222,-1.23,1.99,6.82,-0.15,-0.17,-0.23
242,-1.23,1.99,6.82,-0.08,-0.09,-0.18
262,-2.34,-0.5,10.65,0.04,0.27,-0.12
281,-2.22,1.27,7.7,-0.07,0.15,-0.19
301,0.08,-1.61,9.0,-0.05,-0.3,-0.07
322,-1.65,-1.3,9.73,0.05,-0.06,-0.02
342,0.5,-1.38,9.46,0.06,-0.09,0.06
362,-1.88,-1.07,8.2,0.06,0.01,0.06
382,-1.88,-1.07,8.2,-0.01,-0.11,0.03
402,2.8,-1.3,7.01,-0.01,-0.29,0.05
421,-0.8,-0.15,7.51,-0.01,-0.04,-0.02
442,1.3,-0.04,8.46,-0.01,-0.11,-0.05
462,0.92,-0.69,11.04,-0.01,-0.09,-0.04
482,0.73,-1.46,12.83,0.03,-0.1,-0.03
502,0.73,-1.46,12.83,0.04,0.11,-0.07
522,1.27,0.38,12.87,-0.02,0.1,-0.11
541,-0.19,0.04,8.16,-0.01,0.04,-0.09
562,-1.61,1.65,8.31,-0.04,0.02,-0.09
582,0.38,-0.11,9.3,-0.06,-0.17,-0.09
602,0.8,-1.15,10.88,-0.01,-0.16,-0.01
622,0.8,-1.15,10.88,0.04,0.25,-0.01
642,0.8,-1.15,10.88,-0.03,-0.13,0.07
661,3.26,-3.33,13.87,-0.07,-0.22,0.02
681,1.65,-3.91,15.06,0.17,0.15,0.21
701,1.72,0.5,9.2,0.14,0.17,0.17
722,-1.95,0.19,9.73,0.06,0.35,0.14
742,3.07,-0.08,7.73,-0.07,-0.21,-0.02
762,3.07,-0.08,7.73,-0.11,-0.09,-0.08
781,-3.64,-2.26,9.16,-0.03,0.19,-0.06
801,5.94,-1.38,6.82,-0.07,-0.29,-0.01
822,5.94,-1.38,6.82,0.02,0.13,0.0
842,0.38,-0.96,11.64,0.02,0.01,0.05
862,-1.65,-0.69,11.22,-0.04,-0.09,0.08
881,-1.65,-0.69,11.22,-0.0,0.23,0.03
901,-1.65,-0.69,11.22,-0.05,-0.14,0.08
921,3.03,-1.0,12.98,-0.02,-0.09,0.11
941,3.03,-1.0,12.98,0.01,-0.05,0.08
962,3.83,-1.38,9.65,-0.06,0.2,-0.09
982,-1.53,-0.54,5.21,-0.05,0.18,-0.13
1001,-1.53,-0.54,5.21,-0.08,-0.15,-0.12
1021,-0.19,0.23,10.27,-0.03,0.06,-0.12
1041,0.73,-0.92,9.54,-0.07,0.1,-0.14
1061,-1.19,-0.3,8.01,-0.05,0.06,-0.09
1081,-1.19,-0.3,8.01,-0.02,0.06,-0.01
1102,-0.08,-0.69,9.0,0.0,0.08,0.03
1121,-0.08,-0.69,9.0,-0.01,0.03,-0.01
1141,-0.08,-0.69,9.0,-0.06,-0.02,-0.11
1161,-0.08,-0.69,9.0,-0.04,0.05,-0.06
1181,2.49,-0.23,9.58,-0.06,0.0,-0.09
1201,-0.77,0.54,9.04,-0.03,0.07,-0.05
1222,0.23,0.27,9.58,-0.08,-0.03,-0.08
1242,1.95,0.11,9.69,-0.11,-0.09,-0.1
1261,3.26,-0.15,10.54,-0.13,0.05,-0.15
1281,3.26,-0.15,10.54,-0.11,0.14,-0.13
1302,1.76,0.42,9.12,-0.17,-0.07,-0.13
1321,3.64,0.23,8.96,-0.16,-0.11,-0.07
1341,1.07,-0.84,11.0,-0.14,-0.01,-0.05
1362,1.07,-0.84,11.0,-0.12,0.02,-0.03
1381,0.5,-1.76,8.42,-0.12,0.0,-0.02
1402,0.5,-1.76,8.42,-0.11,0.03,-0.04
1422,-1.76,0.42,6.28,-0.17,-0.03,-0.12
1442,1.65,-0.88,10.42,-0.17,-0.27,0.01
1462,3.37,-2.95,12.48,-0.08,-0.11,0.06
1482,0.92,-1.84,11.72,-0.02,0.23,0.02
1502,0.19,-1.3,9.54,-0.1,0.16,-0.09
1521,0.61,-1.34,8.62,-0.13,-0.04,-0.14
1541,0.42,-1.46,10.61,-0.12,-0.12,-0.2
1562,2.07,-1.84,11.34,-0.1,0.02,-0.29
1581,-0.46,-1.65,9.84,-0.07,0.13,-0.36
1601,0.77,0.23,9.16,-0.06,0.13,-0.36
1622,0.88,0.8,8.93,-0.09,0.06,-0.37
1642,1.61,0.61,8.23,-0.1,-0.03,-0.32
1662,1.07,1.15,8.46,-0.09,0.05,-0.35
1681,0.8,0.19,10.11,-0.14,0.07,-0.47
1701,0.77,0.08,9.96,-0.15,0.02,-0.5
1721,2.76,-0.34,8.43,-0.14,-0.02,-0.53
1742,-0.77,-0.84,10.0,-0.1,0.3,-0.64
1762,0.46,-1.91,9.04,-0.14,0.11,-0.75
1782,5.86,-1.42,8.32,-0.15,-0.25,-0.61
1801,-1.99,-1.23,14.13,0.0,0.35,-0.58
1821,1.95,-1.15,9.23,-0.03,0.14,-0.48
1841,0.73,-0.88,9.89,-0.05,-0.04,-0.47
1862,-0.3,-0.5,11.38,0.03,0.07,-0.32
1882,1.15,-2.14,9.0,0.04,0.09,-0.33
1901,-0.54,-2.38,12.34,0.07,-0.03,-0.21
1922,1.23,-3.1,8.39,0.11,-0.01,-0.19
1941,-3.41,-1.3,6.63,0.12,0.02,-0.18
1961,4.52,-1.46,13.37,0.16,0.18,-0.24
1981,-1.3,-2.91,6.63,0.16,0.18,-0.24
2002,5.4,-0.34,14.05,0.12,0.13,-0.26
2022,2.87,1.23,10.04,0.14,0.23,-0.15
2042,0.65,0.08,9.77,0.14,0.23,-0.15
2061,0.27,-0.27,6.36,0.04,-0.05,-0.17
2082,2.14,-1.65,10.11,0.04,-0.18,-0.15
2101,1.0,-1.15,10.31,0.04,-0.18,-0.15
