timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
20,-0.65,-0.92,9.27,0.16,-0.07,0.13
36,0.11,-0.27,10.99,0.15,-0.07,0.21
56,0.04,-1.19,10.07,0.19,0.04,0.29
76,1.11,-1.49,9.58,0.21,-0.04,0.46
96,-0.42,-0.08,9.31,0.22,0.05,0.55
116,1.0,-1.88,9.69,0.24,-0.06,0.73
136,1.0,-1.88,9.69,0.21,-0.1,0.61
157,5.17,-2.61,7.74,0.19,-0.31,0.73
176,0.34,-1.76,9.42,0.29,-0.05,0.79
196,0.34,-1.76,9.42,0.26,0.15,0.63
216,0.38,-0.04,6.02,0.18,-0.1,0.36
236,0.38,-0.04,6.02,0.18,0.01,0.28
256,-1.53,-1.19,12.41,0.21,0.05,0.21
276,-1.53,-1.19,12.41,0.08,0.16,0.21
296,-2.22,0.23,8.27,0.29,0.12,0.51
316,-2.22,0.23,8.27,0.07,-0.07,0.46
336,1.3,1.84,12.68,-0.11,-0.04,0.35
356,1.3,1.84,12.68,0.11,0.18,0.4
376,-0.46,-1.53,10.0,0.27,0.18,0.56
396,-0.46,-1.53,10.0,0.13,0.0,0.41
416,-0.42,0.08,7.81,0.01,-0.1,0.26
436,-0.84,-0.34,9.8,-0.02,0.0,0.09
456,-0.84,-0.34,9.8,-0.0,0.15,0.0
476,-2.34,1.46,9.2,0.02,0.15,0.0
496,-2.34,1.46,9.2,-0.01,0.09,-0.0
516,-2.34,1.46,9.2,-0.02,0.04,0.02
536,-2.34,1.46,9.2,0.01,0.04,0.05
556,-2.34,1.46,9.2,0.05,-0.02,0.12
576,-2.34,1.46,9.2,0.18,0.02,0.21
596,2.87,-2.18,10.11,0.2,-0.01,0.28
616,-0.69,-2.11,9.61,0.26,0.18,0.41
637,-0.11,-1.91,8.96,0.28,0.01,0.43
657,2.61,-0.27,9.08,0.21,-0.19,0.51
676,3.14,-1.42,10.35,0.24,-0.11,0.53
696,3.14,-1.42,10.35,0.29,0.03,0.63
716,-0.8,0.46,8.58,0.29,0.17,0.62
736,-0.73,0.8,8.08,0.27,0.02,0.61
756,-1.57,-0.27,8.85,0.22,-0.08,0.6
775,-1.57,-0.27,8.85,0.26,0.0,0.68
797,-1.95,-1.15,11.41,0.31,-0.01,0.84
816,-3.41,-0.54,11.3,0.38,0.12,1.0
836,-2.8,-1.61,10.88,0.38,0.03,1.04
855,-4.33,0.46,11.26,0.36,0.06,1.03
876,0.38,-2.57,10.3,0.3,-0.05,0.99
896,0.0,-2.07,9.77,0.3,-0.07,1.01
917,0.0,-2.07,9.77,0.39,0.23,0.99
936,-0.54,-0.69,8.23,0.31,0.15,0.88
956,0.8,-0.92,11.76,0.26,0.02,0.76
975,-0.65,-1.76,9.77,0.34,0.23,0.76
997,1.72,-1.04,8.46,0.34,0.09,0.82
1016,1.07,0.0,9.34,0.31,0.05,0.9
1036,2.07,-0.46,14.33,0.27,0.09,0.9
1056,0.88,1.27,10.77,0.26,0.12,0.92
1076,0.88,1.27,10.77,0.24,0.4,0.94
1096,-1.42,0.73,7.7,0.2,0.29,0.94
1115,-1.11,-0.04,9.46,0.18,0.12,0.94
1136,0.46,-1.3,10.77,0.18,0.13,0.95
1156,-2.18,-0.42,10.0,0.2,0.19,0.96
1176,-2.41,0.77,9.85,0.15,0.33,0.88
1197,-2.41,0.77,9.85,0.07,0.15,0.83
1216,0.15,0.84,11.15,0.05,0.17,0.79
1236,-2.68,1.95,9.2,0.12,0.4,0.83
1256,-1.53,1.84,8.04,0.05,0.42,0.77
1276,-0.08,0.57,8.96,0.05,0.42,0.77
1297,-0.46,1.27,12.11,-0.09,0.22,0.62
1316,-0.42,1.8,10.0,-0.07,0.33,0.59
1336,1.42,1.19,10.23,-0.12,0.26,0.57
1356,0.5,1.23,11.26,-0.12,0.26,0.57
1376,0.84,-0.38,9.85,-0.14,0.39,0.55
1396,2.26,-0.84,7.93,-0.14,0.39,0.55
1416,-1.11,0.57,7.21,-0.1,0.22,0.68
1435,0.38,-0.96,11.99,-0.1,0.22,0.68
1456,-0.23,-1.49,13.25,-0.06,0.17,0.81
1476,-0.92,-0.38,8.24,0.0,0.37,0.85
1496,0.69,-0.04,8.96,-0.01,0.41,0.86
1516,-0.23,-0.11,13.87,-0.01,0.41,0.86
1536,1.72,0.46,12.6,-0.12,0.38,0.77
1556,-2.72,1.34,9.65,-0.12,0.38,0.77
1576,-3.03,2.3,9.84,-0.12,0.66,0.57
1596,-3.14,5.29,4.86,-0.12,0.66,0.57
1616,-4.37,3.79,4.37,-0.44,0.36,0.11
1636,1.07,2.34,8.78,-0.44,0.36,0.11
1656,0.46,1.8,12.48,-0.49,-0.04,0.08
1676,1.95,-0.61,13.18,-0.49,-0.04,0.08
1696,0.73,1.23,7.32,-0.29,0.38,0.18
1716,-4.56,0.73,8.5,-0.35,0.29,0.07
1736,-9.61,-0.77,9.08,-0.29,0.41,-0.06
1756,2.34,-2.61,4.75,-0.34,-0.61,0.0
1777,1.23,-0.88,13.75,-0.34,-0.61,0.0
1796,2.14,-1.3,11.49,-0.34,-0.61,0.0
1816,2.95,1.23,9.54,-0.34,-0.61,0.0
1836,0.96,-0.69,14.29,-0.04,0.13,0.37
1857,0.61,-1.19,8.92,-0.04,0.13,0.37
1877,0.08,0.0,8.46,-0.06,0.17,0.24
1896,-2.03,1.57,5.86,-0.09,0.19,0.06
1916,-3.68,1.91,4.06,-0.14,0.21,-0.07
