timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
7,-4.25,1.23,8.43,-0.1,-0.2,-0.41
26,-0.73,1.57,7.32,-0.3,-0.0,-0.26
46,3.87,1.61,10.77,-0.34,-0.14,-0.31
66,3.87,1.61,10.77,-0.33,0.02,-0.35
86,-2.11,0.61,8.01,-0.27,0.25,-0.36
106,-2.11,0.61,8.01,-0.32,-0.07,-0.47
127,4.71,-0.34,8.08,-0.29,-0.22,-0.41
147,-0.57,1.34,10.31,-0.24,0.02,-0.45
166,-0.57,1.34,10.31,-0.19,-0.03,-0.43
186,-2.49,-0.15,7.59,-0.15,-0.02,-0.45
206,-2.49,-0.15,7.59,-0.14,0.01,-0.45
226,-2.49,-0.15,7.59,-0.04,0.05,-0.35
246,-2.49,-0.15,7.59,-0.03,0.04,-0.26
267,-0.11,-1.65,9.46,-0.01,0.06,-0.19
286,-0.11,-1.65,9.46,0.0,-0.19,-0.04
306,-0.77,-1.99,10.88,0.14,0.15,0.13
326,-1.65,-1.42,8.43,0.17,0.07,0.19
346,1.38,-2.64,9.69,0.11,-0.15,0.2
366,1.38,-2.64,9.69,0.2,0.04,0.27
386,-1.91,-1.46,8.01,0.2,0.07,0.28
407,0.8,-1.15,11.26,0.17,-0.09,0.32
427,-1.99,-1.11,9.12,0.15,0.14,0.29
446,-1.53,-0.65,6.51,0.15,-0.02,0.26
466,1.53,0.19,11.53,0.04,-0.29,0.2
486,2.76,-0.8,14.1,0.05,0.09,0.27
506,2.76,-0.8,14.1,0.19,0.36,0.17
527,-2.87,-0.61,5.52,-0.11,-0.46,0.08
547,0.88,3.37,10.96,0.04,-0.11,0.21
566,-1.76,0.11,8.5,0.1,0.24,0.19
586,-2.41,-0.27,6.93,-0.07,-0.15,0.21
606,-0.46,0.11,4.9,-0.14,-0.21,-0.01
626,-0.46,-0.92,10.39,-0.1,-0.08,0.11
646,3.75,-0.65,11.64,-0.04,0.02,0.18
667,-3.83,-1.07,9.54,-0.0,0.22,0.19
687,-0.08,-1.88,7.7,-0.07,0.12,-0.06
706,-1.07,1.91,10.91,-0.2,-0.14,-0.14
726,2.87,-0.8,9.65,-0.1,-0.05,0.03
746,-2.99,0.69,7.77,-0.05,0.23,-0.1
767,-2.99,0.69,7.77,-0.3,-0.18,-0.35
787,3.56,-0.57,9.73,-0.26,-0.33,-0.24
807,0.15,0.5,11.72,-0.12,0.03,-0.12
826,1.95,-0.88,8.73,-0.08,0.09,-0.02
846,2.18,-0.38,8.62,-0.17,-0.16,-0.08
866,0.3,-1.11,11.72,-0.08,0.12,-0.04
886,-0.84,-0.77,8.12,-0.04,0.05,-0.01
907,-2.18,-0.3,5.94,-0.12,-0.27,-0.04
927,0.0,-0.8,10.46,-0.15,-0.13,-0.0
947,-1.65,-1.84,9.81,-0.02,0.28,-0.09
966,4.83,-1.72,11.26,-0.12,-0.15,-0.11
986,2.57,-0.42,11.5,-0.08,0.04,-0.03
