timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
7,0.38,1.23,8.96,-0.04,-0.05,0.18
26,1.27,-0.69,10.45,-0.02,-0.16,-0.31
46,0.57,-1.68,10.53,0.05,-0.1,-0.19
66,0.57,-1.68,10.53,0.13,-0.0,0.0
86,0.57,-1.68,10.53,0.23,0.07,0.2
106,0.57,-1.68,10.53,0.2,-0.21,0.26
126,-1.46,-1.61,10.04,0.16,-0.33,0.23
146,-1.46,-1.61,10.04,0.24,-0.26,0.36
166,-0.04,-2.72,9.16,0.36,-0.23,0.51
186,-0.04,-2.72,9.16,0.35,-0.25,0.61
206,3.1,-1.15,9.96,0.33,-0.23,0.66
226,3.1,-1.15,9.96,0.35,-0.14,0.71
246,0.84,-0.23,9.38,0.36,0.01,0.86
267,-2.07,0.15,10.49,0.32,0.03,0.81
286,-2.07,0.15,10.49,0.31,-0.06,0.77
306,-3.95,1.99,7.82,0.22,-0.05,0.6
326,-3.95,1.99,7.82,0.08,-0.19,0.32
346,0.92,-1.38,10.69,0.14,-0.17,0.2
365,0.92,-1.38,10.69,0.27,0.13,0.4
387,-0.57,0.88,7.01,0.24,0.19,0.33
407,-3.41,2.14,7.32,0.17,-0.02,0.32
426,-2.57,0.08,6.97,0.1,-0.13,0.07
446,-1.8,-0.3,11.26,0.07,-0.14,0.02
466,4.94,-3.14,18.5,0.05,-0.21,0.31
485,4.33,-4.37,20.11,0.49,0.48,0.91
506,0.65,-1.72,11.38,0.68,0.79,1.48
527,-4.64,0.54,5.44,0.5,0.3,1.45
546,-3.41,-1.76,8.88,0.21,-0.43,1.19
566,-2.18,-2.87,12.64,0.26,-0.14,1.1
586,-2.18,-2.87,12.64,0.44,0.22,1.37
606,0.42,0.34,9.84,0.44,0.57,1.33
626,-4.06,1.23,10.46,0.34,0.57,1.12
647,-4.06,1.23,10.46,0.2,0.15,1.01
666,-0.38,-1.46,13.25,0.18,0.21,0.83
686,0.69,-1.04,9.04,0.28,0.36,0.77
706,1.42,3.6,7.43,0.11,0.29,0.47
726,1.95,2.68,10.11,-0.04,0.34,0.32
745,3.1,1.95,10.77,0.02,0.5,0.29
766,-0.42,3.37,8.96,0.07,0.62,0.23
787,-10.73,5.44,9.92,0.05,0.72,0.15
807,8.35,-3.75,9.23,-0.2,0.5,-0.33
826,12.41,-2.03,5.98,-0.22,-0.78,0.08
846,12.41,-2.03,5.98,0.07,0.22,0.33
865,4.1,-0.27,11.96,0.11,0.35,0.89
886,4.1,-0.27,11.96,-0.07,0.15,0.4
906,-1.04,-1.76,10.69,-0.03,-0.09,0.36
927,-2.68,0.57,9.73,-0.01,-0.1,0.37
946,-4.79,1.0,10.03,0.12,0.45,0.49
965,-3.52,0.42,7.74,0.08,0.16,0.54
986,-3.91,1.91,7.31,0.06,0.04,0.56
1006,0.92,0.34,10.49,-0.02,-0.01,0.54
1026,0.3,-0.84,9.5,0.06,0.14,0.48
1046,-1.49,-0.69,9.89,0.04,0.09,0.54
1066,-1.49,-0.69,9.89,0.07,-0.06,0.46
1086,-3.22,-0.77,10.73,0.15,0.22,0.53
1106,-2.76,-0.88,8.62,0.2,0.07,0.56
1126,-1.11,-2.11,9.84,0.18,-0.03,0.62
1146,-1.11,-2.11,9.84,0.21,-0.0,0.7
1166,-0.65,-1.11,8.66,0.29,0.09,0.84
1186,2.64,-2.61,11.15,0.29,0.04,0.93
1206,2.41,-0.46,10.34,0.33,0.04,1.2
1226,1.23,-1.49,9.58,0.35,0.12,1.25
1245,2.45,-0.46,10.84,0.31,0.06,1.32
1267,0.88,0.42,11.5,0.25,0.19,1.25
1286,0.88,0.42,11.5,0.27,0.18,1.28
1306,0.08,0.92,10.35,0.2,0.14,1.2
1326,1.84,-0.5,12.64,0.14,0.2,1.15
1346,0.38,0.73,10.8,0.16,0.37,1.14
1365,-0.38,0.46,9.69,0.15,0.34,1.12
1386,0.8,0.46,9.46,0.05,0.22,0.89
1406,0.8,0.46,9.46,-0.05,0.31,0.65
1426,0.69,1.49,9.89,-0.07,0.3,0.53
1446,-0.88,2.14,9.73,-0.1,0.29,0.38
1466,-1.19,1.68,9.04,-0.11,0.33,0.31
1486,-1.19,1.68,9.04,-0.12,0.28,0.31
1506,-2.14,2.41,8.31,-0.26,0.12,0.15
1526,-2.14,2.41,8.31,-0.13,0.29,0.4
1546,-2.14,2.41,8.31,0.12,0.81,0.42
1566,0.73,3.68,6.82,-0.08,0.45,0.38
1586,-0.65,2.3,10.88,-0.44,-0.19,-0.07
1606,-1.3,1.04,10.42,-0.29,0.15,-0.11
1626,1.84,3.41,10.15,-0.29,0.37,0.01
1646,1.84,3.41,10.15,-0.16,0.53,-0.01
1666,1.84,3.41,10.15,-0.27,0.1,0.02
1686,-0.08,0.54,9.35,-0.29,-0.1,0.04
1706,-0.08,0.54,9.35,-0.17,0.05,0.05
1726,1.07,0.11,9.93,-0.08,0.14,0.14
1746,1.07,0.11,9.93,-0.05,0.14,0.21
1765,0.3,-0.73,9.0,-0.04,0.13,0.21
1786,0.3,-0.73,9.0,0.03,0.14,0.35
1806,0.3,-0.73,9.0,0.04,0.03,0.38
1826,-0.54,-0.96,9.46,0.08,0.09,0.55
1846,-0.54,-0.96,9.46,0.19,0.32,0.56
1865,-0.54,-0.96,9.46,0.1,-0.22,0.72
1886,3.45,-1.49,8.93,0.2,-0.13,0.92
1906,3.45,-1.49,8.93,0.28,0.37,1.09
1926,-1.84,0.23,10.57,0.24,0.1,1.11
1945,-2.64,-1.15,9.77,0.16,-0.11,0.98
1966,-2.64,-1.15,9.77,0.18,-0.08,0.9
1986,-2.64,-0.5,9.27,0.19,-0.03,0.89
2006,-0.23,0.23,9.8,0.21,0.16,0.87
2025,0.3,0.69,10.0,0.16,0.04,0.82
2045,-1.3,-0.34,10.0,0.14,0.11,0.82
2066,-1.42,0.23,10.8,0.17,0.19,0.84
2086,-1.42,0.23,10.8,0.1,0.1,0.73
2106,-0.88,-0.88,11.38,0.11,0.07,0.73
2126,-1.34,-0.46,9.35,0.13,0.17,0.72
2146,-0.23,-0.3,9.2,0.13,0.12,0.81
2165,-0.19,-0.3,9.42,0.14,0.09,0.9
2186,0.46,-1.72,10.0,0.15,0.1,0.99
2206,1.49,-1.34,11.34,0.16,0.08,1.08
2226,1.07,-1.42,10.69,0.26,0.16,1.28
2246,1.34,-0.5,10.65,0.27,0.16,1.34
2266,-0.08,-1.0,10.77,0.25,0.15,1.41
