timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
22,0.54,-1.34,9.35,0.12,0.07,-0.05
42,-1.95,-2.41,9.16,0.18,0.18,0.02
61,-3.26,-0.77,4.86,0.33,0.15,-0.0
82,2.91,-0.69,11.15,0.14,-0.37,-0.23
101,-0.23,-0.92,11.38,0.09,-0.07,-0.23
121,-1.8,-1.38,5.25,0.31,0.27,-0.06
141,-0.46,-0.04,5.71,0.28,-0.27,0.08
161,3.14,-0.73,14.82,0.17,-0.13,0.15
181,-1.8,-0.61,10.73,0.33,0.29,0.23
202,-3.56,-1.42,7.97,0.34,-0.03,0.29
221,-1.99,-0.8,9.92,0.29,-0.04,0.1
242,1.46,-1.65,10.46,0.16,-0.26,-0.1
260,2.38,-0.84,11.84,0.25,-0.05,-0.05
281,2.76,0.0,10.5,0.31,0.09,0.01
301,-2.03,0.5,7.01,0.26,-0.01,-0.07
321,0.5,1.84,8.89,0.22,-0.26,-0.12
342,-1.19,0.23,7.89,0.17,-0.03,-0.09
361,-1.19,0.23,7.89,0.27,-0.06,0.02
381,-0.08,-2.11,11.57,0.25,-0.12,0.07
400,-1.61,-1.46,8.36,0.37,0.11,0.13
421,-1.19,-1.68,6.24,0.36,-0.23,0.15
441,0.8,-1.38,11.42,0.29,-0.02,0.15
462,0.23,-2.76,8.31,0.39,0.08,0.15
482,-0.34,0.46,10.23,0.44,-0.23,0.33
502,1.0,-2.07,9.16,0.41,-0.02,0.34
521,0.61,-0.96,10.19,0.41,-0.1,0.54
541,-2.99,-0.8,10.0,0.46,0.01,0.56
560,0.69,-1.95,7.01,0.4,-0.34,0.65
582,-1.88,-0.69,12.76,0.36,-0.22,0.64
602,2.76,-2.49,10.53,0.41,0.15,0.62
622,-0.84,0.27,9.0,0.39,-0.07,0.72
641,-4.71,-0.23,7.05,0.41,0.1,0.52
661,1.88,-0.96,9.3,0.2,-0.33,0.43
681,-0.19,0.77,10.69,0.2,0.11,0.34
701,-3.68,0.42,10.15,0.34,0.13,0.33
721,6.82,0.08,17.09,0.16,-0.27,0.23
741,6.82,0.08,17.09,0.18,0.34,0.31
761,-1.42,-1.11,6.32,0.25,0.21,0.17
781,-1.42,-1.11,6.32,0.01,-0.32,0.07
801,0.15,1.27,11.22,0.09,0.15,0.06
821,0.15,1.27,11.22,0.22,0.07,0.09
842,-0.23,0.3,10.0,0.11,-0.16,0.18
861,-1.27,-0.69,8.7,0.13,-0.02,0.24
881,-1.27,-0.69,8.7,0.24,-0.04,0.4
901,-0.34,0.0,10.03,0.21,0.02,0.44
921,-0.34,0.0,10.03,0.24,-0.04,0.55
941,-11.07,1.15,9.58,0.4,0.48,0.45
962,-2.95,-2.95,7.39,0.24,-0.53,0.65
980,-2.95,-2.95,7.39,0.23,-0.19,0.42
1001,-0.77,-1.3,14.82,0.29,0.21,0.51
1021,-0.77,-1.3,14.82,0.27,0.1,0.48
1041,-0.77,-1.3,14.82,0.35,0.09,0.62
1061,-0.04,-0.08,9.16,0.3,-0.15,0.65
1081,-0.04,-0.08,9.16,0.29,-0.13,0.77
1101,1.04,0.73,12.95,0.26,0.18,0.71
1121,0.23,-1.53,9.39,0.26,0.11,0.72
1141,0.23,-1.53,9.39,0.27,-0.02,0.69
1161,-1.88,-0.88,9.39,0.23,-0.02,0.65
1181,-1.88,-0.88,9.39,0.2,-0.07,0.59
1201,-1.88,-0.88,9.39,0.23,0.11,0.64
1221,-1.88,-0.88,9.39,0.23,0.28,0.66
1242,-0.38,1.76,10.19,0.19,0.19,0.69
1260,-1.15,0.61,10.15,0.11,0.1,0.67
1281,-0.88,-0.61,11.07,0.09,0.09,0.68
1301,-0.88,-0.61,11.07,0.1,0.12,0.7
1321,0.08,-0.3,12.76,0.11,0.22,0.69
1340,0.08,-0.3,12.76,0.12,0.36,0.7
1361,-3.29,0.15,8.39,0.06,0.19,0.68
1381,1.23,0.61,12.18,0.08,-0.01,0.69
1401,1.23,0.61,12.18,0.07,0.47,0.62
1421,-1.34,-0.92,6.82,0.07,0.32,0.62
1441,-1.34,-0.92,6.82,-0.01,-0.05,0.55
1461,2.76,0.08,11.61,-0.06,0.04,0.46
1480,2.76,0.08,11.61,-0.03,0.38,0.33
1501,-0.15,0.04,10.15,0.0,0.5,0.32
1521,-1.07,1.8,9.35,0.02,0.19,0.35
1541,0.8,2.3,9.58,-0.11,0.01,0.31
1561,-1.46,0.42,9.65,-0.12,0.17,0.27
