timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
7,2.45,2.53,8.85,-0.01,0.0,0.0
21,2.45,0.34,10.57,0.0,0.0,-0.0
26,-3.68,0.5,6.63,-0.05,0.03,-0.27
37,-4.67,1.53,6.86,-0.09,0.13,-0.26
46,-1.99,0.15,8.39,-0.09,0.13,-0.26
57,0.46,-0.34,10.57,-0.09,0.13,-0.26
66,2.91,-0.84,13.18,-0.09,0.13,-0.26
76,-0.3,-2.14,11.49,-0.06,0.09,-0.21
87,-0.42,-1.27,11.26,-0.06,0.09,-0.21
96,2.3,-0.04,11.45,-0.06,0.09,-0.21
107,0.19,0.15,9.93,-0.01,0.06,-0.18
116,-0.38,-0.69,7.74,-0.01,0.06,-0.18
126,0.96,-0.11,10.49,-0.01,0.06,-0.18
136,-0.65,-0.38,8.35,-0.01,0.06,-0.18
146,-0.42,-0.92,8.73,-0.04,0.09,-0.2
157,-1.3,-0.61,8.88,0.01,-0.04,-0.16
166,-0.77,-0.08,7.59,0.01,-0.14,-0.15
177,2.49,-1.0,9.65,0.01,-0.14,-0.15
186,1.72,-0.42,10.65,0.01,-0.03,-0.15
197,1.65,-1.65,8.5,0.03,-0.04,-0.13
206,0.84,-0.19,9.88,0.03,-0.04,-0.13
216,-0.19,-1.3,9.85,0.03,-0.04,-0.13
227,-1.91,-0.92,9.16,0.08,0.11,-0.12
236,-4.21,-0.46,9.54,0.09,0.08,-0.07
246,-0.5,0.34,7.01,0.09,0.08,-0.07
257,1.91,0.23,8.04,0.09,0.08,-0.07
266,5.36,-1.15,10.65,0.09,0.08,-0.07
277,5.67,-0.96,9.61,0.09,0.08,-0.07
286,-6.13,-0.57,10.42,0.09,0.08,-0.07
297,-10.73,-2.45,13.21,0.09,0.08,-0.07
306,-8.08,1.61,12.3,0.12,0.2,-0.24
316,3.14,1.46,10.3,0.11,0.02,-0.3
327,11.96,-0.42,7.93,0.11,0.02,-0.3
336,5.9,0.77,7.17,0.11,0.02,-0.3
347,-6.16,0.8,6.09,0.11,0.02,-0.3
356,-6.66,2.68,7.93,0.11,0.02,-0.3
366,1.53,3.95,7.77,0.11,0.02,-0.3
376,3.91,0.88,6.36,0.11,0.02,-0.3
387,4.02,-5.71,15.82,0.11,0.02,-0.3
396,-2.22,-2.45,13.45,0.19,0.38,-0.05
406,4.41,0.11,11.91,0.19,0.38,-0.05
416,-0.8,-2.26,9.04,0.19,0.38,-0.05
426,0.54,-3.41,7.2,0.19,0.38,-0.05
436,-2.95,-0.8,9.2,0.19,0.38,-0.05
446,-6.21,-0.19,8.08,0.19,0.38,-0.05
457,-0.11,-1.46,9.46,0.19,0.38,-0.05
466,3.71,-2.26,8.23,0.22,-0.23,0.19
476,-0.04,-0.54,8.35,0.22,-0.23,0.19
487,-1.8,-1.38,6.97,0.22,-0.23,0.19
496,-4.06,-1.19,7.74,0.29,0.03,0.51
506,-1.23,-0.8,8.32,0.29,0.03,0.51
517,2.3,-2.99,9.73,0.29,0.03,0.51
526,1.88,-1.27,11.04,0.29,0.03,0.51
536,-1.15,-1.04,10.54,0.29,0.03,0.51
546,0.42,-2.18,10.49,0.29,0.03,0.51
557,-1.8,-1.15,8.66,0.29,0.03,0.51
566,1.42,-0.19,5.86,0.23,-0.15,0.65
576,-0.65,-1.61,9.08,0.23,-0.14,0.61
587,-1.04,-2.61,11.6,0.23,-0.14,0.61
597,-1.07,-1.95,10.77,0.23,-0.14,0.61
606,3.41,-1.76,10.61,0.3,-0.13,0.68
616,4.14,-0.84,11.8,0.32,-0.09,0.62
626,5.82,-0.92,13.91,0.31,0.02,0.56
636,-2.38,-0.57,10.95,0.26,0.1,0.49
647,-1.61,0.96,8.08,0.26,0.1,0.49
657,-1.04,1.61,8.77,0.15,-0.13,0.28
666,-0.61,1.99,9.38,0.05,-0.15,0.12
676,3.91,0.88,12.64,0.03,-0.09,0.04
686,1.3,1.88,11.04,0.0,0.04,-0.15
697,1.91,2.91,9.89,-0.01,0.05,-0.15
706,1.91,2.91,9.89,-0.03,-0.03,-0.3
717,2.91,3.29,9.61,-0.03,-0.03,-0.3
726,-0.8,2.64,7.7,-0.06,0.09,-0.38
737,-0.46,2.45,8.27,-0.06,0.09,-0.38
746,6.21,1.68,13.79,-0.13,0.01,-0.55
757,-6.05,2.76,10.39,-0.13,0.01,-0.55
766,-3.98,1.34,7.93,-0.13,0.01,-0.55
777,-1.84,3.37,6.82,-0.13,0.01,-0.55
787,2.84,1.53,8.42,-0.13,0.01,-0.55
796,4.83,-0.96,10.15,-0.23,-0.38,-0.94
807,-0.54,-1.07,8.62,-0.23,-0.38,-0.94
816,-1.8,-0.69,8.46,-0.14,0.45,-0.8
826,-0.96,0.04,9.23,-0.03,-0.11,-0.6
836,-1.84,-1.0,9.92,-0.07,-0.22,-0.64
846,0.23,-3.91,8.54,-0.07,-0.22,-0.64
857,-1.07,-3.48,9.61,-0.07,-0.22,-0.64
866,-0.11,-3.87,10.61,0.15,0.04,-0.12
876,-1.38,-3.79,9.43,0.23,0.03,0.13
887,-3.26,-4.94,7.36,0.23,0.03,0.13
896,-3.26,-4.94,7.36,0.39,-0.01,0.69
907,-3.68,-4.94,8.12,0.39,-0.01,0.69
917,-0.54,-5.52,12.52,0.46,-0.18,1.01
927,0.11,-4.37,11.45,0.59,-0.11,1.22
936,-1.11,-4.86,8.93,0.59,-0.08,1.3
946,-2.14,-4.71,8.27,0.59,-0.03,1.53
957,0.08,-3.26,11.76,0.63,-0.1,1.6
966,0.08,-3.26,11.76,0.6,0.05,1.63
977,0.77,-3.37,10.77,0.6,0.05,1.63
986,-3.75,-2.03,7.47,0.66,-0.19,1.78
997,-3.1,-3.29,8.16,0.66,-0.19,1.78
1006,-0.88,0.0,6.82,0.56,-0.12,1.96
1017,0.15,-1.88,7.86,0.56,-0.12,1.96
1027,6.51,-4.64,13.57,0.56,-0.12,1.96
1037,6.51,-4.64,13.57,0.54,-0.07,1.87
1046,0.57,-2.38,13.29,0.55,0.06,1.83
1056,-0.92,2.87,12.91,0.6,-0.03,1.87
1066,1.84,-2.18,11.34,0.38,-0.09,1.61
1076,3.45,-1.07,7.7,0.37,-0.02,1.46
1087,-0.46,-1.49,8.01,0.34,0.06,1.43
1097,-1.38,0.5,8.04,0.29,0.11,1.42
1106,0.61,-0.46,10.49,0.18,-0.05,1.22
1117,-2.61,1.42,6.89,0.18,-0.05,1.22
1126,1.95,-0.08,8.62,0.13,0.07,1.02
1136,3.91,2.34,9.23,0.11,-0.11,0.79
1147,1.15,1.23,9.88,0.11,-0.11,0.79
1157,1.61,0.5,10.15,-0.02,0.15,0.58
1167,1.8,3.95,10.65,-0.02,0.15,0.58
1177,4.18,2.14,9.73,-0.12,0.24,0.21
1186,4.41,2.87,10.92,-0.13,0.12,-0.11
1198,-0.3,2.26,9.69,-0.18,0.27,-0.16
1206,-0.3,2.26,9.69,-0.27,0.13,-0.32
1217,1.53,1.34,10.88,-0.28,0.03,-0.42
1226,1.53,1.34,10.88,-0.28,0.18,-0.48
1237,3.41,1.04,8.23,-0.31,0.16,-0.52
1246,1.38,1.42,9.3,-0.3,0.0,-0.63
1256,1.84,0.54,9.92,-0.28,0.19,-0.61
